Year	Location	Longitude	Latitude	CitationCount
2008	"Paris, France"	2.339754	48.8631859	12
2008	"Paris, France"	2.339754	48.8631859	0
2008	"Paris, France"	2.339754	48.8631859	1
2008	"Paris, France"	2.339754	48.8631859	17
2008	"Paris, France"	2.339754	48.8631859	17
2008	"Paris, France"	2.339754	48.8631859	13
2008	"Paris, France"	2.339754	48.8631859	9
2008	"Paris, France"	2.339754	48.8631859	3
2008	"Paris, France"	2.339754	48.8631859	4
2008	"Paris, France"	2.339754	48.8631859	1
2008	"Paris, France"	2.339754	48.8631859	17
2008	"Paris, France"	2.339754	48.8631859	20
2008	"Paris, France"	2.339754	48.8631859	1
2008	"Paris, France"	2.339754	48.8631859	7
2008	"Paris, France"	2.339754	48.8631859	19
2008	"Paris, France"	2.339754	48.8631859	4
2008	"Paris, France"	2.339754	48.8631859	1
2008	"Paris, France"	2.339754	48.8631859	7
2008	"Patras, Greece"	21.73257	38.24424	6
2008	"Sanya, Hainan, China"	109.5007	18.2823486	0
2008	"Sanya, Hainan, China"	109.5007	18.2823486	9
2008	"Sanya, Hainan, China"	109.5007	18.2823486	1
2008	"Sanya, Hainan, China"	109.5007	18.2823486	0
2008	"Sanya, Hainan, China"	109.5007	18.2823486	2
2008	"Sanya, Hainan, China"	109.5007	18.2823486	0
2008	"Sanya, Hainan, China"	109.5007	18.2823486	1
2008	"Sydney, Australia"	151.206955	-33.8696	50
2008	"Toronto, Canada"	-79.38544	43.6487	0
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	16
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	11
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	3
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	5
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	22
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	5
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	8
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	3
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	3
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	2
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	5
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	13
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	16
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	4
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	7
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	45
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	10
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	8
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	2
2008	"Vancouver, BC, Canada"	-123.113358	49.26038	26
2009	"Albuquerque, NM, USA"	-106.649048	35.08423	0
2009	"Antalya, Turkey"	30.70926	36.87894	0
2009	"Boston, MA, USA"	-71.05674	42.35866	9
2009	"Boston, MA, USA"	-71.05674	42.35866	2
2009	"Boston, MA, USA"	-71.05674	42.35866	0
2009	"Boston, MA, USA"	-71.05674	42.35866	24
2009	"Boston, MA, USA"	-71.05674	42.35866	15
2009	"Genoa, Italy"	8.93898	44.41039	0
2009	"Guilin, China"	110.277084	25.28052	7
2009	"Honolulu, Hawaii, USA"	-157.857758	21.30485	1
2009	"Honolulu, Hawaii, USA"	-157.857758	21.30485	0
2009	"Imperial College, London, UK"	-0.12721	51.50642	4
2009	"Imperial College, London, UK"	-0.12721	51.50642	2
2009	"Imperial College, London, UK"	-0.12721	51.50642	6
2009	"Imperial College, London, UK"	-0.12721	51.50642	4
2009	"Imperial College, London, UK"	-0.12721	51.50642	32
2009	"Imperial College, London, UK"	-0.12721	51.50642	4
2009	"Jelenia Gora, Poland"	15.74056	50.89984	0
2009	"Kuala Lumpur, Malaysia"	101.694031	3.14777	14
2009	"Kuala Lumpur, Malaysia"	101.694031	3.14777	4
2009	"Milan, Italy"	9.18109	45.46888	0
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	19
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	15
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	4
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	19
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	17
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	30
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	3
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	6
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	12
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	3
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	9
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	49
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	4
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	6
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	9
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	10
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	1
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	2
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	0
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	0
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	13
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	14
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	6
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	11
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	16
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	31
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	2
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	12
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	37
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	11
2009	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	10
2009	"Porto, Portugal"	-8.61031	41.14946	3
2009	"Porto, Portugal"	-8.61031	41.14946	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	12
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	2
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	1
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	1
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	3
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
2009	"San Diego, CA, USA"	-117.1625	32.715	0
